17:10:33.759 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/category/{id}],methods=[DELETE]}" onto public java.lang.String cn.wmyskxz.blog.controller.BackController.deleteCategoryInfo(java.lang.Long)
17:10:33.760 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/category/{id}],methods=[GET]}" onto public cn.wmyskxz.blog.entity.CategoryInfo cn.wmyskxz.blog.controller.BackController.getCategoryInfo(java.lang.Long)
17:10:33.760 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/article/{id}],methods=[DELETE]}" onto public java.lang.String cn.wmyskxz.blog.controller.BackController.deleteArticleComment(java.lang.Long)
17:10:33.760 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/{id}],methods=[DELETE]}" onto public java.lang.String cn.wmyskxz.blog.controller.BackController.deleteComment(java.lang.Long)
17:10:33.760 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/reply/{id}],methods=[GET]}" onto public java.lang.String cn.wmyskxz.blog.controller.BackController.replyComment(java.lang.Long)
17:10:33.761 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/comment/{id}],methods=[GET]}" onto public cn.wmyskxz.blog.entity.Comment cn.wmyskxz.blog.controller.BackController.getCommentById(java.lang.Long)
17:10:33.762 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/article/{id}],methods=[GET]}" onto public cn.wmyskxz.blog.dto.ArticleDto cn.wmyskxz.blog.controller.BackController.getArticleDtoById(java.lang.Long)
17:10:33.769 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.dto.ArticleWithPictureDto> cn.wmyskxz.blog.controller.ForeController.listAllArticleInfo()
17:10:33.770 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list/sort/{id}],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.dto.ArticleWithPictureDto> cn.wmyskxz.blog.controller.ForeController.listArticleInfo(java.lang.Long)
17:10:33.771 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/list/lastest],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.dto.ArticleWithPictureDto> cn.wmyskxz.blog.controller.ForeController.listLastestArticle()
17:10:33.771 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/article/{id}],methods=[GET]}" onto public cn.wmyskxz.blog.dto.ArticleDto cn.wmyskxz.blog.controller.ForeController.getArticleById(java.lang.Long)
17:10:33.772 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/category/list],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.entity.CategoryInfo> cn.wmyskxz.blog.controller.ForeController.listAllCategoryInfo()
17:10:33.772 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/list],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.entity.Comment> cn.wmyskxz.blog.controller.ForeController.listAllComment()
17:10:33.772 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/article/{id}],methods=[GET]}" onto public java.util.List<cn.wmyskxz.blog.dto.ArticleCommentDto> cn.wmyskxz.blog.controller.ForeController.listMessageByArticleId(java.lang.Long)
17:10:33.773 logback [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/api/comment/article/{id}],methods=[POST]}" onto public java.lang.String cn.wmyskxz.blog.controller.ForeController.addArticleComment(java.lang.Long,cn.wmyskxz.blog.dto.ArticleCommentDto,javax.servlet.http.HttpServletRequest)
